Episodes trained, 8
State.x, State.z, Action.x, Action.y, Qvalue
0,0,0,0,1.000000
0,0,0,1,2.000000
0,0,0,2,3.000000
0,0,1,0,4.000000
0,0,1,1,5.000000
0,0,1,2,6.000000
0,0,2,0,7.000000
0,0,2,1,7.000000
0,0,2,2,6.000000
0,1,0,0,5.000000
0,1,0,1,4.000000
0,1,0,2,3.000000
0,1,1,0,2.000000
0,1,1,1,1.000000
0,1,1,2,0.000000
0,1,2,0,1.100000
0,1,2,1,1.200000
0,1,2,2,1.300000
0,2,0,0,1.400000
0,2,0,1,1.500000
0,2,0,2,1.600000
0,2,1,0,1.700000
0,2,1,1,0.000000
0,2,1,2,0.000000
0,2,2,0,0.000000
0,2,2,1,0.000000
0,2,2,2,0.000000
1,0,0,0,0.000000
1,0,0,1,0.000000
1,0,0,2,0.000000
1,0,1,0,0.000000
1,0,1,1,0.000000
1,0,1,2,0.000000
1,0,2,0,0.000000
1,0,2,1,0.000000
1,0,2,2,0.000000
1,1,0,0,0.000000
1,1,0,1,0.000000
1,1,0,2,0.000000
1,1,1,0,0.000000
1,1,1,1,0.000000
1,1,1,2,0.000000
1,1,2,0,0.000000
1,1,2,1,0.000000
1,1,2,2,0.000000
1,2,0,0,0.000000
1,2,0,1,0.000000
1,2,0,2,0.000000
1,2,1,0,0.000000
1,2,1,1,0.000000
1,2,1,2,0.000000
1,2,2,0,0.000000
1,2,2,1,0.000000
1,2,2,2,0.000000
2,0,0,0,0.000000
2,0,0,1,0.000000
2,0,0,2,0.000000
2,0,1,0,0.000000
2,0,1,1,0.000000
2,0,1,2,0.000000
2,0,2,0,0.000000
2,0,2,1,0.000000
2,0,2,2,0.000000
2,1,0,0,0.000000
2,1,0,1,0.000000
2,1,0,2,0.000000
2,1,1,0,0.000000
2,1,1,1,0.000000
2,1,1,2,0.000000
2,1,2,0,0.000000
2,1,2,1,0.000000
2,1,2,2,0.000000
2,2,0,0,0.000000
2,2,0,1,0.000000
2,2,0,2,0.000000
2,2,1,0,0.000000
2,2,1,1,250.000000
2,2,1,2,251.000000
2,2,2,0,252.000000
2,2,2,1,253.000000
2,2,2,2,254.000000
